Title,Additional Info,Description,Ref,TypeOfContract,Cpv(main),Cpv(additional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodge Hill Girls' School - Catering Services.	The successful tenderer will be required to provide catering services at Hodge Hill Girls' School.The contract being tendered is for 3 years in duration from April 2016.The tender project is seeking to appoint a Contractor whose initiative and innovation will be welcomed for the provision of service within the existing facilities for the 750 students on roll and 100 teaching and support staff", with a focus on exciting new food concepts to satisfy a wide range of pupil tastes and dietary requirements. The School would wish the successful contractor to review the current range of services offered and make recommendations accordingly.The contract being tendered is for three years in duration from April 2016 and will operate as a Guaranteed Performance Contract, with the successful Contractor offering the School a guaranteed return/cost per annum for the provision of catering services. Sovereignty of the cash tariff is to remain with Hodge Hill Girls’ School for the duration of this contract.The School year is based on a calendar of 195 days. Five days are to be used for staff professional development which means that School will be open to receive students for the legal minimum of 190 days.The contract offered covers the scope for the provision of all catering services within the School, which currently includes morning break, lunch, all hospitality and free issue requirements. Free tea and toast, free School meals and hospitality will be charged based on consumption and at net food cost.Whilst the School prioritises value for money as a key objective of the competitive tender process, the Governing body is not obliged to accept the lowest price.The value of the current (2014/15) contract is:— Cash sales: 170 733 GBP;— Free School Meals: 17 357 GBP;— Hospitality: 2 544 GBP;Total 190 624 GBP.Hodge Hill Girls’ School expects the successful contractor to enable the continued development of catering through the provision of an innovative, fully HMC/B Halal, healthy food service, with fresh, seasonal, locally sourced ingredients being prepared on-site. The School expects the successful tenderer to evidence, through their bid, how they shall support and complement its values and support the principles of Every Child Matters.The School believes that success should be celebrated and that pupils should enjoy their time at School; if lessons are stimulating and challenging then students will love learning. Much time therefore, is spent reviewing and planning schemes of work to ensure that they are differentiated to meet the needs of all students. As a result, the School are very enthusiastic regarding work experience and apprenticeship proposals and would welcome the input of the successful Contractor.As a School who are continually seeking ways to improve and develop the ethos and environment for students and staff, to give them the facilities they deserve and need to meet the challenges of the 21st Century, any consideration regarding inward capital investment as part of the Contractor’s tender submission would be welcomed.The School would wish for the Contractor to look at making this investment within the existing dining area, the sixth form dining area and within the proposed dining area extension, with attention being given to the upgrade of the Cunninghams cashless system," counter layout and furnishings and the implementation of a procedure that would assist in producing a reduction of current queuing times.The School’s objectives:— to further increase the standards of fresh food provision;— to further increase the standard of service for all customers;— to receive a consistently high quality catering provision;— to generate an improved dining environment for all students;— to receive proactive management support for the catering staff;— to hold regular review meetings with the successful contractor;— to achieve overall value for money.		SERVICES	55524000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Piece Hall Transformation Project - MultiMedia AV Software and AV Hardware Tender to the Heritage and Exhibition Rooms.	The Piece Hall Transformation Project - Multimedia AV Software and AV Hardware Tender to the Heritage and Exhibition Room is to deliver certain interpretative themes within the Heritage areas of the Piece Hall: The Visitor Centre", The Piece Hall Story, Map Room and Trader’s Room all of which are part of the Fit-Out Contract.The Piece Hall Transformation Project - Multimedia AV Software and AV Hardware Tender to the Heritage and Exhibition Roomis to deliver certain interpretative themes within the Heritage areas of the Piece Hall: The Visitor Centre, The Piece Hall Story," Map Room and Trader’s Room all of which are part of the Fit-Out Contract.		SUPPLIES	48000000	44316400",48512000,79822500,32322000,48520000,48481000,48316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contract for the Provision of a Merchant Services Supply Chain.	The Regenda Group wishes to procure contracts for the provision of merchant services and materials for various property works", including but not limited to; planned maintenance, investment programmes, responsive maintenance, void works, new development works, commercial and retail works. A separate notice has been published for the provision of the supply of certain categories of materials.This tender opportunity is divided into five merchant services lots, further details are provided in Section II.2).Please refer to Section VI.3) for further information about The Regenda Group.Contracts will be established with the successful merchants for an initial term of 2 years from April 2016 with the option in year 2 to extend the contracts annually for 2 further years (2 + 1 + 1).If you wish to express interest in this opportunity please send an email to: tenders.support@valueworks.co.uk including the following tender reference number - VWCL1077For the distribution and supply of heating materials for installation predominantly within social housing properties. To include but not limited to; boiler spares, radiators, radiator valves, water treatment, heating controls, soil and waste, cylinders, copper tube, fixtures and fittings.Regenda will be agreeing rates for boilers and associated products directly with a material supplier and will require the merchant to provide a cost to serve within the pricing matrix to distribute these items. The services required will include delivery to site and branch collection.The minimum estimated contract value for this lot is 1 160 000 GBP and the maximum estimated value is 3 300 000 GBP inclusive of boiler spend. The minimum contract value is based on the initial 2-year contract term and the maximum value is based on a 4-year contract term with an allowance for growth.For the distribution and supply of electrical goods for installation predominantly within social housing properties. To include but not limited to; consumer units, circuit protection, switches and sockets, detection devices, extractor fans, electric showers, fluorescent light fittings for bathrooms and kitchens, exterior light fittings, pendant sets, domestic electric cables, bonding, boxes, junction boxes, storage heaters and PVC-U trunking.The services required will include delivery to site and branch collection.The minimum estimated contract value for this lot is 560 000 GBP and the maximum estimated value is 1 570 000 GBP. The minimum contract value is based on the initial 2-year contract term and the maximum value is based on a 4-year contract term with an allowance for growth.For the distribution and supply of materials for installation predominantly within social housing properties. To include but not limited to; sanitary ware, taps, tiling, flooring, internal doors, fixings, ironmongery, bricks / blocks, concrete flag paving, concrete block paving, kerb stones, fencing and gates, aggregate, cement, plaster / plasterboard, timber, paint, glazing and handrails.The services required will include delivery to site and branch collection.The minimum estimated contract value for this lot is 750 000 GBP and the maximum estimated value is 2 280 000 GBP. The minimum contract value is based on the initial 2-year contract term and the maximum value is based on a 4-year contract term with an allowance for growth.For the distribution and supply of materials for installation predominantly within social housing properties. To include but not limited to; sanitary ware, taps, tiling, flooring, internal doors, fixings, ironmongery, bricks / blocks, concrete flag paving, concrete block paving, kerb stones, fencing and gates, aggregate, cement, plaster / plasterboard, timber, paint, glazing and handrails.The services required will include delivery to site and branch collection.The minimum estimated contract value for this lot is 730 000 GBP and the maximum estimated value is 1 580 000 GBP. The minimum contract value is based on the initial 2-year contract term and the maximum value is based on a 4-year contract term with an allowance for growth.For the distribution and supply of materials for installation predominantly within social housing properties. To include but not limited to; sanitary ware, taps, tiling, flooring, internal doors, fixings, ironmongery, bricks / blocks, concrete flag paving, concrete block paving, kerb stones, fencing and gates, aggregate, cement, plaster / plasterboard, timber, paint," glazing and handrails.The services required will include delivery to site and branch collection.The minimum estimated contract value for this lot is 520 000 GBP and the maximum estimated value is 1 660 000 GBP. The minimum contract value is based on the initial 2-year contract term and the maximum value is based on a 4-year contract term with an allowance for growth.	VWCL1077	SUPPLIES	44111000	44111600",44111000,31681410,44611500,45324000,44912400,44111200,34928200,14210000,44531510,31532900,44320000,44321000,42131142,31524000,31224100,44621000,44221300,39717100,31532400,44800000,31214100,38431200,44221220,44411100,44316000,39715210,31712118,44621220,39714110,24961000,24962000,44111100,44810000,44621100,31300000,44621110,44115200,44111500,44621200,44111700,3419100,42131110,44410000,44411000,31681000,44192200,44113120,31650000,31224700,44163000,44160000,44221200,44621221,44113130
"Contract for the Provision of a Materials Supply Chain.	The Regenda Group wishes to procure contracts for the supply of materials for various property works", including but not limited to; planned maintenance, investment programmes, responsive maintenance, void works, new development works, commercial and retail works. A separate notice has been published for the provision of merchant services.This tender opportunity is divided into four material lots, further details are provided in Section II.2).Please refer to Section VI.3) for further information about The Regenda Group.Contracts will be established with the successful material suppliers for an initial term of two years from April 2016 with the option in year 2 to extend the contracts annually for 2 further years (2 + 1 + 1).If you wish to express interest in this opportunity please send an email to: tenders.support@valueworks.co.uk including the following tender reference number - VWCL1076.For the supply of kitchens including adapted kitchens for installation predominantly within social housing properties. To include but not limited to; carcass, doors and drawer fronts, handles, hinges, end panel, plinths and corner posts, worktop and worktop trims, splash backs, sinks and taps.The minimum estimated contract value for this lot is 1 720 000 GBP and the maximum estimated value is 3 590 000 GBP. The minimum contract value is based on the initial two year contract term and the maximum value is based on a 4-year contract term with an allowance for growth.For the supply of boilers and flues for installation predominantly within social housing properties. To include but not limited to; combination condensing boiler, system boiler, flue kit, filling loop and boiler spares. The appointed supplier will be required to trade directly with the heating merchant appointed by Regenda.The minimum estimated contract value for this lot is 520 000 GBP and the maximum estimated value is 1 490 000 GBP. The minimum contract value is based on the initial 2-year contract term and the maximum value is based on a 4-year contract term with an allowance for growth.For the supply of PVCu windows for installation predominantly within social housing properties. To include but not limited to; beading, glazing, seals, locking mechanism, top hung stash, side hung sash, fire egress, handles, hardware and fixings, night-vent, ventilation, infill panel, side lights and flag windows. During the life of the contract should there be a requirement for PVCu doors they may be purchased via this lot.The minimum estimated contract value for this lot is 450 000 GBP and the maximum estimated value is 1 440 000 GBP. The minimum contract value is based on the initial 2-year contract term and the maximum value is based on a 4- year contract term with an allowance for growth.For the supply of composite doors including fire doors for installation predominantly within social housing properties. To include but not limited to; composite doors, composite fire doors, hinges, locks, handles, doorknockers, door viewer, door safety, numbers, letter box / plate," fan light and side panel.The minimum estimated contract value for this lot is 300 000 GBP and the maximum estimated value is 960 000 GBP. The minimum contract value is based on the initial 2-year contract term and the maximum value is based on a 4-year contract term with an allowance for growth.	VWCL1076	SUPPLIES	44111000	44221220",44621000,44410000,44221000,44111000,39141200,39141400,44411100,44621200,44221200,44115200,44621220,44621221,39141000,44221100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Royal National College for the Blind - Catering Services.	The successful tenderer will be required to provide catering services at the Royal National College for the Blind.The contract being tendered is for 3 years in duration from 1.5.2016.The Royal National College for the Blind is the UK’s leading specialist residential college for people aged 16+ who are blind or partially sighted. With over 140 years’ experience", the College stands firm in its original aim to enable each and every student to achieve their potential and engage fully in their community.The successful tenderer will be required to provide catering services at Royal National College for the Blind.The tender project is seeking to appoint a Contractor whose initiative and innovation will be welcomed for the provision of service within the existing facilities for the 130 students on roll and 180 teaching and support staff, with a focus on exciting new food concepts to satisfy a wide range of Student tastes and dietary requirements. The College would wish the successful contractor to review the current range of services offered and make recommendations accordingly.The contract being tendered is for 3 years in duration from 1.5.2016 until 30.4.2019 and will operate as a Guaranteed Performance Contract, with the successful Contractor offering the College a guaranteed cost per annum for the provision of catering services. Sovereignty of the cash tariff is to remain with Royal National College for the Blind for the duration of this contract.The College year is based on a calendar of 36 weeks, for the majority of students, although adult students are here for up to 46 weeks and so a service should be available year round, on a reduced basis in non-term time.The contract offered covers the scope for the provision of all catering services within the College, which currently includes morning break, lunch, all hospitality and free issue requirements. Inclusive Student meals and hospitality will be charged based on consumption and at net food cost.There are up to 125 students who are residential students and who reside within the College for five or seven days per week, over 36 weeks per annum, 40 of whom may be at the college for up to 46 weeks.These students will receive, as part of their daily meal entitlement, the following provision:— Lunch;— Evening Meal.In addition, student self-catering Breakfast Provisions are sent to the halls, which are to be supplied by the successful contractor.There are up to 5 day students, who are entitled to a meal at lunchtime.Approximately 20 students receive a self-catering allowance for an evening meal with 6 of them having an additional allowance for two lunchtime meals at a weekend.Teaching and support staff, will pay for all meals taken throughout the day, at the point of sale. Adult students pay for meals, but do have a discount of 50 %.The sales achieved in 2014/15 were:— Cash sales 40 000 GBP;— Free College Meals 50 000 GBP;— Hospitality 27 000 GBP.Total 117 000 GBP.Whilst the College prioritises value for money as a key objective of the Competitive Tender Process, the Governing body is not obliged to accept the lowest price.Royal National College for the Blind expects the successful contractor to enable the continued development of catering through the provision of an innovative, healthy food service, with fresh, seasonal, locally sourced ingredients being prepared on-site. The College expects the successful tenderer to evidence, through their bid, how they shall support and complement its values.The College believes that success should be celebrated and that Students should enjoy their time at College; if lessons are stimulating and challenging then students will love learning. Much time therefore, is spent reviewing and planning schemes of work to ensure that they are differentiated to meet the needs of all students. As a result," the College are very enthusiastic regarding work experience and apprenticeship proposals and would welcome the input of the successful Contractor.		SERVICES	55520000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"221/MVT Supplier Development Training Services Framework.	A framework of suitably experienced expert providers to provide supplier support and training services that will manage or support transformational supplier development activities within the Sharing Growth Schemes.The training provider:a. Is responsible for managing the communication of the SDE status to Sharing in Growth. As a minimum this will include:i. Monthly reporting to Sharing in Growth if required",ii. Quarterly reporting to Sharing in Growth by formal presentation required,iii. Status reporting to wider Sharing in Growth group when requested,iv. Escalation of issues to Sharing in Growth as required;b. Is responsible for meeting the requirements of the Statement of Work and also the quality and integrity of the SDE work;c. Provides resource (Supplier Development Engineers) that are suitably qualified and are legally allowed employment in the UK;d. Complies with the Sharing in Growth Supplier Development Process wherever practicable.A multi-supplier framework agreement with a maximum of 5 suppliers for the specialist supplier development training services required to support this programme to provide supplier support and training services that will manage or support transformational supplier development activities within the Sharing Growth Schemes. Through training," the suppliers shall develop the capabilities in approximately 24 Aerospace Sharing in Growth beneficiary companies to become globally cost competitive.	221/MVT	SERVICES	80531100	80530000",80531000,80532000,80531200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Call for Tender for the selection of an Execution Entity which will be in charge of Promotion and Information activities.	The Call for Tender is addressed to Agencies and Companies expert in Public Relations", Promotion and Information activities regarding agricultural products of high quality. The activities and initiatives eligible under the program Cheese it’s Europe (co-financed by European and Italian funds), are similar to those of classical information and promotion activities related to food and wine high quality products; taking into account issues to be treated and project’s objectives (especially in terms of communication's contents). Please see the Technical Specifications of the Call for Tender available at: http://www.parmigianoreggiano.com/news/cheese_its_europe/technical_specifications.aspxThe activities will include, for example: PR activities, planning and organization of events and tastings, press campaigns," and creation of informational and promotional materials.		SERVICES	79416000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business Start-up support services.	Warwickshire County Council (the Authority) is seeking to appoint a specialist organisation to deliver a start-up service across Warwickshire. The service should provide support to individuals interested in starting a business", new businesses, start-ups and early stage businesses The service will be funded by the European Structural and Investment Funds (ESIF), the Authority and the District/Boroughs CouncilsWarwickshire County Council (the Authority) is seeking to appoint a specialist organisation to deliver a start-up service across Warwickshire. The service should provide support to individuals interested in starting a business, new businesses," start-ups and early stage businesses.	00003448	SERVICES	79000000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Motor Vehicle Insurance and related Motor Insurance services including Claims Handling," Data Handling and Risk Management Services.	Provision of Motor Vehicle Insurance on a fleet of approximately 6 250 to 7 000 vehicles for the Period 1.4.2016 to 31.3.2018.Motor Fleet Insurance", Provision of Motor Vehicle Insurance and related Motor Insurance services including Claims Handling," Data Handling and Risk Management Services		SERVICES	66514110	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Motor Vehicle Insurance and related Motor Insurance services including Claims Handling," Data Handling and Risk Management Services.	Provision of Motor Vehicle Insurance on a fleet of approximately 6 250 to 7 000 vehicles for the Period 1.4.2016 to 31.3.2018.Motor Fleet Insurance", Provision of Motor Vehicle Insurance and related Motor Insurance services including Claims Handling," Data Handling and Risk Management Services		SERVICES	66514110	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Death in Service and Long Term Absence Insurances.	Home Group is seeking to reprocure its provision of insurance for both Death in Service (also known as Group Life Assurance (GLA)) and Long Term Absence (also known as Group Income Protection (GIP)). The current provision expires on 31.3.2016.This may involve insurance broking", insurance underwriting or a combination of both. The term is intended to include the arrangement, placing and administration of insurance policies, as well as claims administration and settlement, risk management services and any other insurance related services. It is the intention of Home to retain life insurance service providers for a period of two years, subject to satisfactory annual reviews of service and performance. The term will commence on 1.4.2016. At the discretion of Home Group, and subject to satisfactory service cost and performance, this initial period may be extended for a further year.Home Group is seeking to reprocure its provision of insurance for both Death in Service (also known as Group Life Assurance (GLA)) and Long Term Absence (also known as Group Income Protection (GIP)). The current provision expires on 31.3.2016.This may involve insurance broking, insurance underwriting or a combination of both. The term is intended to include the arrangement, placing and administration of insurance policies, as well as claims administration and settlement, risk management services and any other insurance related services. It is the intention of Home to retain life insurance service providers for a period of two years, subject to satisfactory annual reviews of service and performance. The term will commence on 1.4.2016. At the discretion of Home Group, and subject to satisfactory service cost and performance," this initial period may be extended for a further year.	611	SERVICES	66510000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stopsley High School Catering Services.	Catering services to Stopsley School.Single Contract awarded. No subcontractor.		SERVICES	55524000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business Start-up support services.	Warwickshire County Council (the Authority)", on behalf of North Warwickshire Borough Council, Rugby Borough Council, Stratford-on-Avon District Council and Warwick District Council," is looking to appoint a specialist organisation to deliver a start-up support service across Warwickshire. The service should provide support to individuals who have ambitions to start a business and start-up businesses in their first 12 months of trading.	00003448	SERVICES	79000000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non Life Insurances," exclusive of Insurance Broking or Claims Management Services.	Provision of Non Life Insurances		SERVICES	66510000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non-Life Insurances," exclusive of Insurance Broking or Claims Management Services.	Provision of Non-Life Insurances", exclusive of Insurance Broking or Claims Management Services.Internet and Email Insurance.Public Liability.Event Cancellation/Contingency Insurance.Marine Hull Insurance.Employers Liability.Motor Fleet Insurance.Professional Indemnity Insurance.Crime.Personal Accident and Travel Insurance.Computer," Hired in Plant.Officials Indemnity Insurance.Contractors All Risk.Excess Public and Products Liability Insurance.		SERVICES	66510000	66515411",66514150,66512000,66516500,66516400,66516000,66514110,66519200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reablement Services.	This procurement is to commission a County-wide Reablement Service to be delivered from 1.3.2016. The Reablement Service forms part of the intermediate care service which is a range of integrated services", and supports the promotion of independence and faster recovery from illness. The Service aims to prevent unnecessary acute hospital admission, premature admission to residential care, support timely discharge from hospital, to minimise, delay or avoid the need for long term domiciliary supports and to maximise independent living.Due to recent capacity issues it is deemed necessary to increase the number of providers, ensuring referral demand is met. One provider per lot/area will be awarded a contract.The Reablement services will be tendered in 6 Lots and the proposed contract will be on a block purchase arrangement.Bidders must hold a CQC registration for the regulated activity of Personal care.Reablement Services in Lancaster - 4512 Hours of Reablement Services per four week periodReablement Services in Fylde and Wyre - 4 260 hours reablement per 4-week period.Reablement Services in Pendle and Ribble Valley - 3796 hours of reablement per 4-week period.Reablement Services Burnley, Hyndburn and Rossendale - 4 788 hours of reablement per 4-week period.Reablement Service in Chorley," South Ribble and Preston - 2704 hours of reablement per 4-week period.Reablement service in West Lancashire - 2652 hours reablement per 4-week period.	KH/ACS/LCC/15/437	SERVICES	85000000	85000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply of Active Lives and Healthy Weight Service for Adults (aged 18 and over), families," children and young people (aged 4-18) across Lancashire.	The Service will comprise of obesity prevention", opportunities for physical activity and weight management focusing on dietary change and behavioural components. It will provide a coordinated information, assessment and support programme to the people of Lancashire who meet the inclusion criteria.The Service will comprise of obesity prevention, opportunities for physical activity and weight management focusing on dietary change and behavioural components. It will provide a coordinated information, assessment and support programme to the people of Lancashire who meet the inclusion criteria.The Service will comprise of obesity prevention, opportunities for physical activity and weight management focusing on dietary change and behavioural components. It will provide a coordinated information, assessment and support programme to the people of Lancashire who meet the inclusion criteria.The Service will comprise of obesity prevention, opportunities for physical activity and weight management focusing on dietary change and behavioural components. It will provide a coordinated information, assessment and support programme to the people of Lancashire who meet the inclusion criteria.The Service will comprise of obesity prevention, opportunities for physical activity and weight management focusing on dietary change and behavioural components. It will provide a coordinated information, assessment and support programme to the people of Lancashire who meet the inclusion criteria.The Service will comprise of obesity prevention, opportunities for physical activity and weight management focusing on dietary change and behavioural components. It will provide a coordinated information," assessment and support programme to the people of Lancashire who meet the inclusion criteria.		SERVICES	85100000	85100000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consultancy for London Ventures Support Services.	London Councils’ Capital Ambition invites bids for the provision of Consultancy for London Ventures Support Services in order to support the ongoing delivery of the London Ventures Programme", with the consultants acting in a central facilitator/catalyst/broker role. The total value excluding VAT will be between 500 000 GBP and 10 000 000 GBP in total. NB see II.2.4).Working in close partnership with London Councils, the consultants will:— Support the existing London Ventures Programme;— Develop future rounds of London Ventures with both targeted and general tranches;— Ensure that the Capital Ambition Board has full oversight of the programme and take direction from the Board as appropriate;— Evolve the London Ventures Programme to ensure it meets the needs of customers and key stakeholders;— Ensure that the London Ventures Programme generates significant financial benefits for the London local authorities and there is a sufficient return to the programme to sustain it going forward.London Councils Capital Ambition invites bids for the provision of Consultancy for London Ventures Support Services in order to support the ongoing delivery of the London Ventures Programme, with the consultants acting in a central facilitator/catalyst/broker role.Working in close partnership with London Councils, the consultants will:— Support the existing London Ventures Programme;— Develop future rounds of London Ventures with both targeted and general tranches;— Ensure that the Capital Ambition Board has full oversight of the programme and take direction from the Board as appropriate;— Evolve the London Ventures Programme to ensure it meets the needs of customers and key stakeholders;— Ensure that the London Ventures Programme generates significant financial benefits for the London local authorities and there is a sufficient return to the programme to sustain it going forward.Important note regarding section II.1.5) (above) and II.2.6) (below) — value excluding VAT: 500 000 GBP up to 10 000 000 GBP in total, London Ventures Programme to be self-sustaining by the end of year-3," London Councils’ net expenditure on programme costs not to exceed 1 000 000 GBP.		SERVICES	79411100	79340000",79411000,79400000,79413000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non-Life Insurance," exclusive of Insurance Broking or Claims Management Services.	Provision of Non-Life Insurance"," exclusive of Insurance Broking or Claims Management Services.Combined Liability.Official Indemnity Insurance.Environmental Liability.Marine Liability and Hull.Group Personal Accident and Travel.Crime.		SERVICES	66510000	66516500",66515411,66516000,66514120,66512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Motor Vehicle Insurance and related Motor Insurance services including Claims Handling," Data Handling and Risk Management Services.	Provision of Motor Vehicle Insurance on a fleet of approximately 6 250 to 7 000 vehicles for the Period 1.4.2016 to 31.3.2018.Motor Fleet Insurance", Provision of Motor Vehicle Insurance and related Motor Insurance services including Claims Handling," Data Handling and Risk Management Services.		SERVICES	66514110	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vehicle Maintenance Services.	To provide vehicle maintenance servicing to the GMATL fleet of minibuses to ensure compliance and safety.To provide vehicle maintenance servicing to the GMATL fleet of minibuses to ensure compliance and safety. This includes service inspections of vehicles every 8 weeks and brake tests", servicing based on mileage or annually in-line with manufacturer's recommendations, annual pre-MOT and MOT inspections, additional repair and maintenance work as required in order to ensure a well maintained fleet to support GMATL's provision of an efficient ring and ride service. Due to a requirement for consistency of standards and to assist GMATL's limited back end operational and financial resource," this contract cannot be divided into lots.	VM2015	SERVICES	50100000	50110000",50118200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
